,seq,name,name2,content,isconfirmed,class
0,0,ابراهيم النعمه ,ابراهيم النعمه ,nan,True,SAME PERSON
1,1,ابراهيم النعمه ,بشير الصقال,و حصل على شهاده الثاني عشر من المدرسه الاحمديه الوقفيه و كان مدير ها الشيخ ,True,STUDY
2,2,ابراهيم النعمه ,رشيد الخطيب الموصلي,كان مدير ها الشيخ بشير الصقال و ذلك سنه 1389/1969. ثم حصل على شهاده البكالوريوس من كليه الامام الاعظم سنه 1393/1973. و حصل على الاجازه العالميه من فضيله الشيخ ,True,STUDY
3,3,ابراهيم النعمه ,محمد علي الياس العدواني,الاجازه العالميه من فضيله الشيخ رشيد الخطيب الموصلي في 23/ رجب / 1388 ه الموافق 15/ تشرين الاول / 1968 م  و اجازه عالميه ثانيه من فضيله الشيخ ,True,STUDY
4,4,ابراهيم النعمه ,يعقوب اغا,/ 1968 م  و اجازه عالميه ثانيه من فضيله الشيخ محمد علي الياس العدواني في 21 من ذي القعده سنه 1393/1973. اشغل وظائف الامامه و الخطابه في جامع ,True,MISC
5,5,ابراهيم النعمه ,يونس علي,ثم جامع خزام و الخطابه في جامع النبي ,True,MISC
6,6,ابراهيم النعمه ,ذياب العراقي,ثم جامع خزام و الخطابه في جامع النبي يونس علي ه السلام في الموصل  ثم في جامع المخيول و جامع الدندان و جامع الحاج ,True,MISC
7,7,ابراهيم احمد عطار باشي م ,عطار باشي,انغمر ,True,SAME PERSON
8,8,ابراهيم احمد عطار باشي م ,ابراهيم عطار باشي,انغمر عطار باشي في السياسه و انتسب الى جمعيه العلم 1914-1919. و عند ما علم الوالي ب امر ه اعتقل ,True,SAME PERSON
9,9,ابراهيم احمد عطار باشي م ,سعيد الحاج ثابت,انغمر عطار باشي في السياسه و انتسب الى جمعيه العلم 1914-1919. و عند ما علم الوالي ب امر ه اعتقل ابراهيم عطار باشي و ,True,COMPANIONSHIP
10,10,ابراهيم احمد عطار باشي م ,محمد باشا الصابونجي,باشي في السياسه و انتسب الى جمعيه العلم 1914-1919. و عند ما علم الوالي ب امر ه اعتقل ابراهيم عطار باشي و سعيد الحاج ثابت و توسط ل هما ,True,HELP
11,11,ابراهيم احمد عطار باشي م ,عطار باشي,و عند ما علم الوالي ب امر ه اعتقل ابراهيم عطار باشي و سعيد الحاج ثابت و توسط ل هما محمد باشا الصابونجي و في مشكله الموصل 1924 برز ,True,SAME PERSON
12,12,ابراهيم الجلبي ,محمود الطائي,صاحب جريده فتى العراق الموصليه  و هي جريده يوميه سياسيه جامعه مستقله اسست سنه 1934 رئيس تحرير ها ,True,WORK
