,seq,name,content,class
0,0,ابراهيم النعمة ,ابراهيم نعمة الله النعمة. ولد في الموصل سنة 1362هـ-1943م. أتم دراسته الأبتدائية في المدرسة العراقية والمتوسطة في متوسطة المثنى، ودرس في إعدادية المستقبل في الموصل. وحصل على شهادة الثاني عشر من المدرسة الأحمدية الوقفية وكان مديرها الشيخ بشير الصقال وذلك سنة 1389/1969. ثم حصل على شهادة البكالوريوس من كلية الامام الأعظم سنة 1393/1973. وحصل على الإجازة العالمية من فضيلة الشيخ رشيد الخطيب الموصلي في 23/رجب/1388هـ الموافق 15/تشرين الاول/1968م، وإجازة عالمية ثانية من فضيلة الشيخ محمد علي الياس العدواني في 21من ذي القعدة سنة 1393/1973.اشغل وظائف الامامة والخطابة في جامع (يعقوب أغا) في حي الثقافة، ثم جامع الخلفاء في بغداد وجامع العاقولية في بغداد. ثم جامع خزام والخطابة في جامع النبي يونس عليه السلام في الموصل، ثم في جامع المخيول وجامع الدندان وجامع الحاج ذياب العراقي.كان رئيساً لجمعية الشبان المسلمين وجمعية رابطة العلماء سنة 1995.اشترك في عدد من المؤتمرات وقدّم فيها بحوثاً كمؤتمر المساجد الذي عقد في فندق بغداد لثلاثة أيام سنة 1994،وكذلك مؤتمر الرقابة الشعبية الالمانية الطوعية الذي عقد في فندق بغداد لثلاثة أيام 24/1/1995وقدم فيه بحثاً وألقى ملخصه وكذلك المؤتمر الأول للطب النفسي والعلوم النفسية والتربوية في جامعة الموصل من 10/11/1997 وقدم فيه بحثاً القى ملخصه.كما أنه اشترك في عدد من المؤتمرات الطبية في الموصل كمؤتمر الأمراض السرطانية ومؤتمر المفاغرة ويجيب عن الاسئلة الدينية هناك .  سافر الى امبراطورية افريقيا الوسطى سنة 1977 وبقي فيها ستة أشهر موفداً من قبل الحكومة العراقية ومهمته الدعوة الى الاسلام وهناك ألف كتابه (الاسلام في افريقيا الوسطى) وطبع في القاهرة، كما طبع في العراق طبعتين.أشرف على نشاطات رابطة العلماء فرع الموصل في مواسمها الثقافية الأربعة حيث شارك عدد غير قليل من أساتذة الجامعة ومفكري الموصل وادبائها.منذ عام 1975 في قاعة النشاط المدرسي،وقاعة جمعية الشبان المسلمين وقاعة نقابة المعلمين وقاعة جامع العراقي الذي يعمل فيه اماماً وخطيباً. من مؤلفاته:1-إيماننا الحق بين النظر والدليل طبعتان 1985. 2-يسألونك ليزدادوا إيماناً 1983طبعتان الأولى في العراق والثانية في القاهرة. 3-تأملات في آيات القرآن 1985. 4-دراسة في مصطلح الحديث 1985. 5-الجهاد في التصور الاسلامي1982. 6-رضينا بالاسلام ديناً 1983. 7-العمل والعمال في الفكر الاسلامي 1985. 8-المسلمون أمام تحديات الغزو الفكري طبعتان 1986. 9-الاسلام في افريقيا الوسطى ثلاثة طبعات 1981. 10-نفحات من شريعة الاسلام وصرحها للتطبيق في كل زمان ومكان طبعتان 1984. 11-أخلاقنا أو الامار طبعتان 1986. 12-علوم القرآن 1997. 13-روائع إسلامية 2جزء طبعتان 1988. 14-روائع وطرائف ثلاثة أجزاء 1990. 15-العقيدة الاسلامية 1995. 16-المؤامرة على المرأة المسلمة-فتياتنا بين الحجاب والسفور 1996. 17-لمن تحطم الاخلاق؟! 1996. 18-خصوم الاسلام والصحوة الاسلامية المعاصرة 1996. 19-التوسل والوسيلة. 20-دعاء المسلم في اليوم والليلة 1997. 21-الاصولية الاسلامية ومؤامرات الغرب 1995. 22- صحابة رسول الله 1994. 23-الاعراض عن منهج الله وأثره في حياة المسلم 1994. 24-صرخة مؤمنة الى كل فتاة مسلمة 1990. 25-نظرات في الصوم 1974. 26-باقات الورود النضرة من حكايات المسلمين العطرة 1998. 27-عمل المرأة بين الاسلام والغرب 1996. 28-من صفات الداعية1997. 29-منهج الدعوة الى الله 1997.,0
1,1,ابراهيم احمد السليم ,انهى دراسته الاولية في الموصل. ودرس الصيدلة في جامعة اسطنبول وحصل على بكالوريوس صيدلة عام 1961. اصبح صيدلاني العيادة الخارجية في محافظة اربيل، صيدلاني مذخر الادوية في المستشفى الجمهوري في نينوى، مدير التجهيزات الطبية في دائرة صحة نينوى.,0
2,2,إبراهيم أحمد اليونس العبيدي ,ولد في الموصل 1920، خريج ثانوية/ تخرج من الدورة التربوية 1940.الوظائف التي اشغلها:  1-معلم تسع سنوات. 2-معاون مدير مدرسة العدنانية 3سنوات. 3-معاون مدير مدرسة القحطانية سبع سنوات. 4-مدير مدرسة تطبيقات دار المعلمين الابتدائية. إحدى عشرة سنة من 1959-1970فالتقاعد. ,0
3,3,ابراهيم احمد عطار باشي م ,ولد في الموصل ودرس العلوم الدينية والعربية الا أنه انصرف نحو التجارة وعند اعلان الحرب العالمية الأولى عام1914 ودخلت الدولة العثمانية الى جانب المانيا ضد الحلفاء. انغمر عطار باشي في السياسة وانتسب الى جمعية العلم 1914-1919. وعندما علم الوالي بأمره اعتقل ابراهيم عطار باشي وسعيد الحاج ثابت وتوسط لهما محمد باشا الصابونجي وفي (مشكلة الموصل)1924 برز عطار باشي من المؤيدين لارتباط الموصل بالعراق واسهم في تشكيل الدولة العراقية وتبرع بالمال دعماً للمؤسسات التعليمية والخيرية وبناء جامع صلاح الدين في اربيل انتخب في البرلمان مرتين عن الموصل 1930، 1941. وشارك في حركة عام 1941 وبعد اخفاقها هرب الى تركيا. ثم عاد الى الموصل وعمل في التجارة حتى توفاه الله.,0
4,4,ابراهيم الجلبي ,صاحب جريدة (فتى العراق) الموصلية، وهي جريدة يومية سياسية جامعة مستقلة أسست سنة 1934، رئيس تحريرها محمود الطائي خريج كلية الحقوق عام 1944 وتولى ابراهيم العمل في جريدته فتى العراق اضافة الى عمله في جريدة الرقيب التي أسسها سنة 1937 وهو سكرتير جمعية البر الاسلامية (دار الايتام) والهلال الاحمر.خاض غمار الصحافة في الثلاثينات حيث تولى ادارة (العمال التي اصدرها مع المحامي سعد الدين زيادة وتولى ادارة مجلة المجلة) وتعرضت فتى العراق للتوقف بسبب مساندتها لحركة مايس 1941وسجن مسؤولها القانوني المحامي ابراهيم وصفي رفيق ثلاث سنوات وتوقفت في انتفاضة بورتسموث عام 1947واصدر ابراهيم الجلبي جريدة (صدى الاحرار) التي كان يصدرها محمد رؤوف الغلامي ثم أوقف اصدارها. وكانت بديلاً عن فتى العراق ثم عادت فتى العراق للصدور بعد سنة ثم مالبثت ان توقفت فاستعار جريدة (الذكرى) لصاحبها رؤوف الشهواني. ثم حصل على امتياز صحيفة جديد بأسم (فتى العرب)عام 1951وبعد سنتين الفي امتيازها فانتقل الى اصدار مجلة (الثقافة) لعبد الله سامي الدبوني ثم حصل على امتياز اصدار جريدة فتى العراق مرة أخرى واستمرت حتى عام 1963 حيث توقفت عن الصدور مع جميع الصحف حيث حصل بعدها على امتياز (فتى العراق)عام 1963 واستمرت حتى عام 1969 حيث اممت الصحافة.,0
5,5,ابراهيم بشير النائب ,انهى دراسته الاولية في الموصل. درس الطب في اسطنبول حصل على شهادة  MD سنة1956 واكمل دراسته في انكلترا وحصل على زمالة كلية الجراحين في ادنبرة FRCS واتبع التخصص في جراحة الكسور وحصل على ماجستير جراحة العظام من جامعة ليفربول عام 1971 مدرس كلية طب الموصل فرع الجراحة، استاذ مساعد في جراحة العظام والكسور اسس شعبة جراح العظام كلية طب الموصل.,0
6,6,إبراهيم بطرس إبراهيم ,ولد إبراهيم بطرس في الموصل وتلقى دراسته الابتدائية فيها ودخل دار المعلمين الابتدائية وكان يجيد الإنكليزية ودرس في مدارس عدة في الموصل منها المدرسة القحطانية وكان من أنجح معلمي اللغة الإنكليزية وله طريقة خاصة في التعليم يحبب المادة إلى الطلاب وكانت شخصية قوية ورجلاً محترماً من الجميع نشر العديد من المقالات الأدبية والاجتماعية والأخلاقية في مجلة النور والنجم.  وله مؤلفات ومترجمات: 1-بلاد العميان (ترجمة). 2-العصر الذري ترجمة 1954. 3-أربع محاضرات تاريخية (ترجمة 1949). 4-كيف تختار مسلكاً ناجحاً في الحياة. 5-المختار من المقالات 1961 سبق ونشرها في مجلتي النجم والنور.,0
7,7,إبراهيم بن حمادي العزاوي ت ,وهو من مغني المقام وله اسطوانات توفي عام 1910.,1
8,8,ابراهيم بهنام ,خريج دار المعلمين العالية، طبيعيات 1943 درس في ثانوية العمارة و الأعدادية في الموصل.,0
9,9,ابراهيم جنداري جمعة خليفة الجميلي ,ولد في الموصل1954، حصل على بكالوريوس اداب/ لغة عربية عام 1976 من جامعة الموصل. عين عام 1977 مساعد باحث في كلية الاداب وشغل عدة وظائف ادارية منها معاون العميد. حصل على شهادة الماجستير في اللغة العربية وادابها في 2/4/1984. عمل في التدريس بقسم اللغة العربية بلقب مدرس مساعد منذ ذلك التاريخ. في 10/8/1987 حصل على لقب مدرس. في 7/7/1990 حصل على شهادة الدكتوراه فلسفة في الادب العربي الحديث والنقد. في 9/10/1992 حصل على لقب استاذ مساعد. في 29/10/1999 حصل على الاستاذية. ترأس قسم اللغة العربية بكلية التربية للمدة من (1997-2003).من مؤلفاته:- 1-صراع القهر والانهزام دراسة في مسرح صلاح عبد الصبور، دار الشؤون الثقافية بغداد/1992. 2-الفضاء الروائي عند جبرا ابراهيم جبرا، دار الشؤون الثقافية/2001. 3-النص المسرحي العربي ونكسة حزيران، وزارة الثقافة السورية/2004.  اشرف على احدى عشرة رسالة دكتوراه وتسع عشرة رسالة ماجستير ونشر عشرين بحثاً وخمس ندوات علمية داخل العراق. وكان سكرتيراً لجريدة الحدباء.,0
