,0,1,2,3,4,5,6
0,ابراهيم النعمه ,ابراهيم النعمه ,True,,,,
1,ابراهيم النعمه ,بشير الصقال,False,WSTUDY,مدير,بشير الصقال,و حصل على شهاده الثاني عشر من المدرسه الاحمديه الوقفيه و كان مدير ها الشيخ 
2,ابراهيم النعمه ,رشيد الخطيب الموصلي,False,WSTUDY,مدير,,كان مدير ها الشيخ بشير الصقال و ذلك سنه 1389/1969. ثم حصل على شهاده البكالوريوس من كليه الامام الاعظم سنه 1393/1973. و حصل على الاجازه العالميه من فضيله الشيخ 
3,ابراهيم النعمه ,محمد علي الياس العدواني,False,WSTUDY,اجازه,محمد علي الياس العدواني,الاجازه العالميه من فضيله الشيخ رشيد الخطيب الموصلي في 23/ رجب / 1388 ه الموافق 15/ تشرين الاول / 1968 م ، و اجازه عالميه ثانيه من فضيله الشيخ 
4,ابراهيم النعمه ,يعقوب اغا,False,WSTUDY,جامع,,/ 1968 م ، و اجازه عالميه ثانيه من فضيله الشيخ محمد علي الياس العدواني في 21 من ذي القعده سنه 1393/1973. اشغل وظائف الامامه و الخطابه في جامع 
5,ابراهيم النعمه ,يونس علي,False,WSTUDY,جامع,,ثم جامع خزام و الخطابه في جامع النبي 
6,ابراهيم النعمه ,ذياب العراقي,False,WSTUDY,جامع,,ثم جامع خزام و الخطابه في جامع النبي يونس علي ه السلام في الموصل ، ثم في جامع المخيول و جامع الدندان و جامع الحاج 
7,ابراهيم احمد عطار باشي م ,عطار باشي,False,MISC,,,انغمر 
8,ابراهيم احمد عطار باشي م ,ابراهيم عطار باشي,False,GOVERNMENT,الوالي,,انغمر عطار باشي في السياسه و انتسب الى جمعيه العلم 1914-1919. و عند ما علم الوالي ب امر ه اعتقل 
9,ابراهيم احمد عطار باشي م ,سعيد الحاج ثابت,False,GOVERNMENT,الوالي,سعيد ثابت,انغمر عطار باشي في السياسه و انتسب الى جمعيه العلم 1914-1919. و عند ما علم الوالي ب امر ه اعتقل ابراهيم عطار باشي و 
10,ابراهيم احمد عطار باشي م ,محمد باشا الصابونجي,False,HELP,توسط,,باشي في السياسه و انتسب الى جمعيه العلم 1914-1919. و عند ما علم الوالي ب امر ه اعتقل ابراهيم عطار باشي و سعيد الحاج ثابت و توسط ل هما 
11,ابراهيم احمد عطار باشي م ,عطار باشي,False,HELP,توسط,,و عند ما علم الوالي ب امر ه اعتقل ابراهيم عطار باشي و سعيد الحاج ثابت و توسط ل هما محمد باشا الصابونجي و في مشكله الموصل 1924 برز 
12,ابراهيم الجلبي ,محمود الطائي,False,WSTUDY,رئيس,محمود الطائي,صاحب جريده فتى العراق الموصليه ، و هي جريده يوميه سياسيه جامعه مستقله اسست سنه 1934، رئيس تحرير ها 
13,ابراهيم الجلبي ,المحامي سعدالدين زياده,False,WSTUDY,اداره,,خاض غمار الصحافه في الثلاثينات حيث تولى اداره العمال التي اصدر ها مع 
14,ابراهيم الجلبي ,المحامي ابراهيم وصفي رفيق,False,WSTUDY,مجله,,ها مع المحامي سعدالدين زياده و تولى اداره مجله المجله و تعرضت فتى العراق ل لتوقف ب سبب مساندت ها ل حركه مايس 1941 و سجن مسؤول ها القانوني 
15,ابراهيم الجلبي ,ابراهيم الجلبي ,True,,,,لتوقف ب سبب مساندت ها ل حركه مايس 1941 و سجن مسؤول ها القانوني المحامي ابراهيم وصفي رفيق ثلاث سنوات و توقفت في انتفاضه بورتسموث عام 1947 و اصدر 
16,ابراهيم الجلبي ,محمد رؤوف الغلامي,False,WSTUDY,جريده,محمد رؤوف الغلامي,و سجن مسؤول ها القانوني المحامي ابراهيم وصفي رفيق ثلاث سنوات و توقفت في انتفاضه بورتسموث عام 1947 و اصدر ابراهيم الجلبي جريده صدى الاحرار التي كان يصدر ها 
17,ابراهيم الجلبي ,رؤوف الشهواني,False,WSTUDY,جريده,,و كانت بديلا عن فتى العراق ثم عادت فتى العراق ل لصدور بعد سنه ثم مالبثت ان توقفت ف استعار جريده الذكرى ل صاحب ها 
18,ابراهيم الجلبي ,عبدالله سامي الدبوني,False,WSTUDY,مجله,,ثم حصل على امتياز صحيفه جديد ب اسم فتى العرب عام 1951 و بعد سنتين الفي امتياز ها ف انتقل الى اصدار مجله الثقافه ل 
19,ابراهيم بطرس ابراهيم ,ابراهيم بطرس ابراهيم ,True,,,,
20,ابراهيم حبش ,ابراهيم حبش ,True,,,,
21,ابراهيم خليل العلاف ,عبدالقادر احمد,False,WSTUDY,دراسه,,دراست ه العليا في كليه الاداب جامعه بغداد و حصل على الماجستير عام 1975 عن رسالت ه ولايه الموصل : دراسه في تطورات ها السياسيه 1908-1922 ب اشراف الدكتور 
22,ابراهيم خليل العلاف ,فاضل حسين,False,WSTUDY,اشراف,,في تطورات ها السياسيه 1908-1922 ب اشراف الدكتور عبدالقادر احمد اليوسف و حصل على الدكتوراه عام 1980 عن رسالت ه تطور التعليم الوطني في العراق 1914-1932 ب اشراف الدكتور 
23,ابراهيم خليل العلاف ,جعفر عباس,False,COMPANY,الاشتراك,,9- تاريخ العراق المعاصر ، 1989 ب الاشتراك مع الدكتور 
24,ابراهيم خليل العلاف ,خليل علي مراد,False,COMPANY,الاشتراك,,10- ايران و تركيا : دراسه في التاريخ الحديث و المعاصر ، 1992 ب الاشتراك مع الدكتور 
25,ابراهيم خليل العلاف ,عوني عبدالرحمن السبعاوي,False,COMPANY,الاشتراك,,16- تاريخ العالم الثالث الحديث ، 1989 ب الاشتراك مع الدكتور 
26,ابراهيم صلاوي ,رفعت سلطان,False,COMPANY,كان من بين,,التدريب البدائيه دمبلصات و عتلات ف كان يستعمل ها ل تنميه و تقويه اجساد هم و كان ذلك عام 1969 و كان من بين الذين يتدربون مع هم المرحوم 
27,ابراهيم صلاوي ,احمد يونس داؤد,False,COMPANY,المشاركين,,جرت بطوله المحافظه عام 1975 و حصل على المركز الاول و كاسا فخريا ل جميع الفئات و كان من بين المشاركين كل من 
28,ابراهيم صلاوي ,ادريس حكمت,False,COMPANY,المشاركين,,المحافظه عام 1975 و حصل على المركز الاول و كاسا فخريا ل جميع الفئات و كان من بين المشاركين كل من احمد يونس داؤد المعروف ب احمد ابوالكاز و 
