Article,Person,Person Detected,IsSame,IsSameDetected,Relation,ExactRelation,Link,Link Detected
??????? ??????,??????? ???? ???? ??????,1,TRUE,,None,None,None,
??????? ??????,???? ??????,1,FALSE,,WSTUDY,???????,???? ??????,
??????? ??????,???? ?????? ???????,1,FALSE,,WSTUDY,?????,???? ??????,
??????? ??????,???? ??? ????? ????????,1,FALSE,,WSTUDY,?????,None,
??????? ??????,???? ???????,1,FALSE,,PLACE,????,None,
??????? ???? ???? ????,???? ????,,TRUE,,None,None,None,
??????? ???? ???? ????,??????? ???? ????,,TRUE,,None,None,None,
??????? ???? ???? ????,???? ????? ????,,FALSE,,MISC,?????,None,
??????? ???? ???? ????,???? ???? ?????????,,FALSE,,HELP,????,None,
??????? ???? ???? ????,???? ????,,TRUE,,None,None,None,
???? ?????? ??,????? ?????? ??,,FALSE,,FAMILY,??,????? ?????? ??,
???? ?????? ??,??????? ??????,,FALSE,,FRIENDSHIP,????,None,
???? ?????? ??,???? ????????,,FALSE,,WSTUDY,???,,
???? ?????? ??,????? ??????,,FALSE,,MISC,???,None,
???? ???????? ?????,???? ?????? ?? ?????,,FALSE,,FAMILY,????,???? ?????? ?? ?????,
???? ???????? ?????,???? ?????,,FALSE,,FRIENDSHIP,????,None,
???? ???????? ?????,??????? ??????,,FALSE,,FRIENDSHIP,????,??????? ??????,
???? ???????? ?????,???? ?????? ????????,,FALSE,,FRIENDSHIP,????,None,
???? ???????? ?????,???? ??????,,FALSE,,FRIENDSHIP,????,None,
???? ???????? ?????,???? ???? ??????,,FALSE,,FRIENDSHIP,????,None,
???? ???????? ?????,???? ????? ??????,,FALSE,,FRIENDSHIP,????,None,
???? ???????? ?????,???? ???? ?????,,FALSE,,FRIENDSHIP,????,None,
???? ???????? ?????,????? ??????? ????????,,FALSE,,FRIENDSHIP,????,None,
???? ???????? ?????,??????? ??????,,FALSE,,COMPANY,??,??????? ??????,
???? ??????,???? ??? ??????,,TRUE,,None,None,None,
???? ??????,???? ??????,,TRUE,,None,None,None,
???? ??????,???? ????,,FALSE,,FRIENDSHIP,????,None,
???? ??????,???? ????,,FALSE,,WSTUDY,?????,None,
???? ??????,???? ????,,FALSE,,MISC,??????,None,
???? ??????,???? ????,,FALSE,,MISC,??????,None,
???? ????? ??????,???? ????? ??? ???? ??????,,TRUE,,None,None,None,
???? ????? ??????,???? ??????,,TRUE,,None,None,None,
???? ????? ??????,???? ????? ??????,,TRUE,,None,None,None,
???? ????? ??????,???? ?? ??? ???? ?? ???? ???????,,FALSE,,MISC,None,None,
???? ????? ??????,???? ?? ??? ???? ?? ???? ???????,,FALSE,,MISC,None,None,
???? ????? ??????,???? ???? ??????,,FALSE,,MISC,None,None,
???? ??????,??????? ????????,,FALSE,,WSTUDY,???,None,
???? ??????,???? ???? ????????,,FALSE,,WSTUDY,???,None,
???? ??????,???? ???????,,FALSE,,WSTUDY,???,None,
???? ??????,???? ??????,,FALSE,,WSTUDY,???,None,
???? ??????,???? ????????,,FALSE,,WSTUDY,????,???? ????????,
???? ??????,??????? ??????,,FALSE,,WSTUDY,????,??????? ???? ????? ??????,
???? ??????,???? ?????,,FALSE,,WSTUDY,??????,???? ????? ????????,
???? ??????,???? ?????,,FALSE,,WSTUDY,??????,None,
???? ??????,????? ??? ????,,FALSE,,WSTUDY,??????,None,
???? ??????,????????? ???? ???????,,FALSE,,WSTUDY,??????,None,
???? ??????,??????? ???? ????,,FALSE,,WSTUDY,??????,None,
???? ??????,???? ???????,,FALSE,,WSTUDY,??????,None,
???? ??????,???? ?????????,,FALSE,,WSTUDY,??????,???? ?????????,
???? ??????,??????? ??????,,FALSE,,WSTUDY,??????,??????? ??????,
???? ??????,???? ??????,,FALSE,,CONTACT,???????,None,
???? ??????,??????? ??????,,FALSE,,MISC,None,??????? ??????,
???? ??????,??????? ??????,,FALSE,,MISC,None,None,
???? ??????,??????? ??????,,FALSE,,MENTION,????,??????? ??????,
???? ??????,???? ????,,FALSE,,IDIOLOGY,???,None,
???? ??????,????????? ????????,,FALSE,,IDIOLOGY,???,None,
???? ??????,???? ????,,FALSE,,IDIOLOGY,????,None,
???? ??????,????????? ????????,,FALSE,,WSTUDY,?????,None,
???? ??????,??????? ??????,,FALSE,,MISC,None,??????? ??????,
???? ??????,??????? ??????,,FALSE,,WSTUDY,???,??????? ???? ????? ??????,
???? ??????,???? ??? ????? ????????,,FALSE,,WSTUDY,????,???? ??? ????? ????????,
???? ??????,???? ??????,,FALSE,,WSTUDY,????,None,
???? ??????,???? ?????,,FALSE,,WSTUDY,????,None,
???? ??????,???? ??? ???????,,FALSE,,WSTUDY,????,None,
???? ??????,????? ???? ???????,,FALSE,,WSTUDY,????,None,
???? ??????,???????? ??????,,FALSE,,WSTUDY,????,None,
???? ??????,????? ??? ????,,FALSE,,WSTUDY,????,None,
???? ??????,????????? ????? ???,,FALSE,,WSTUDY,????,None,
???? ??????,??????? ??? ????,,FALSE,,WSTUDY,????,None,
