Article,Person,IsSame,Relation,ExactRelation,Link
«»—«енг «бдЏге,«»—«енг дЏге «ббе «бдЏге,TRUE,None,None,None
«»—«енг «бдЏге,»‘н— «б’ё«б,FALSE,WSTUDY,«бгѕ—”е,»‘н— «б’ё«б
«»—«енг «бдЏге,—‘нѕ «бќЎн» «бгж’бн,FALSE,WSTUDY,«ћ«“е,—‘нѕ «бќЎн»
«»—«енг «бдЏге,гЌгѕ Џбн «бн«” «бЏѕж«дн,FALSE,WSTUDY,«ћ«“е,None
«»—«енг «бдЏге,–н«» «бЏ—«ён,FALSE,PLACE,ћ«гЏ,None
«»—«енг «Ќгѕ ЏЎ«— »«‘н,ЏЎ«— »«‘н,TRUE,None,None,None
«»—«енг «Ќгѕ ЏЎ«— »«‘н,«»—«енг ЏЎ«— »«‘н,TRUE,None,None,None
«»—«енг «Ќгѕ ЏЎ«— »«‘н,”Џнѕ «бЌ«ћ Ћ«» ,FALSE,MISC,«Џ ёб,None
«»—«енг «Ќгѕ ЏЎ«— »«‘н,гЌгѕ »«‘« «б’«»ждћн,FALSE,HELP, ж”Ў,None
«»—«енг «Ќгѕ ЏЎ«— »«‘н,ЏЎ«— »«‘н,TRUE,None,None,None
«Ќгѕ «бѕнже ћн,ЏЋг«д «бѕнже ћн,FALSE,FAMILY,«ќ,ЏЋг«д «бѕнже ћн
«Ќгѕ «бѕнже ћн,Џ»ѕ«ббе «бЁн÷н,FALSE,FRIENDSHIP,б«“г,None
«Ќгѕ «бѕнже ћн,гЌгѕ «б—÷ж«дн,FALSE,WSTUDY,ѕ—”,
«Ќгѕ «бѕнже ћн,гЌгжѕ «бЁќ—н,FALSE,MISC,‘—Ќ,None
«Ќгѕ ”Џѕ«бѕнд “н«ѕе,ѕ«жѕ «бгб«Ќ «б “н«ѕе,FALSE,FAMILY,ж«бѕ,ѕ«жѕ «бгб«Ќ «б “н«ѕе
«Ќгѕ ”Џѕ«бѕнд “н«ѕе,«Ќгѕ «бджЌ,FALSE,FRIENDSHIP,—Ё«ё,None
«Ќгѕ ”Џѕ«бѕнд “н«ѕе,«»—«енг «бћб»н,FALSE,FRIENDSHIP,—Ё«ё,«»—«енг «бћб»н
«Ќгѕ ”Џѕ«бѕнд “н«ѕе,ѕ«жѕ «бћ«”г «б«Ў—ёћн,FALSE,FRIENDSHIP,—Ё«ё,None
«Ќгѕ ”Џѕ«бѕнд “н«ѕе,«Ќгѕ «бќ‘«»,FALSE,FRIENDSHIP,—Ё«ё,None
«Ќгѕ ”Џѕ«бѕнд “н«ѕе,«Ќгѕ Ќ”нд «бё’«»,FALSE,FRIENDSHIP,—Ё«ё,None
«Ќгѕ ”Џѕ«бѕнд “н«ѕе,нжд” Ќгжяе «бЏб«Ё,FALSE,FRIENDSHIP,—Ё«ё,None
«Ќгѕ ”Џѕ«бѕнд “н«ѕе,«Ќгѕ –джд Ќг«ѕн,FALSE,FRIENDSHIP,—Ё«ё,None
«Ќгѕ ”Џѕ«бѕнд “н«ѕе,г’ЎЁм «»—«енг «б«Ў—ёћн,FALSE,FRIENDSHIP,—Ё«ё,None
«Ќгѕ ”Џѕ«бѕнд “н«ѕе,«»—«енг «бћб»н,FALSE,COMPANY,гЏ,«»—«енг «бћб»н
«Ќгѕ «б’жЁн,«Ќгѕ Џбн ”бнг«д,TRUE,None,None,None
«Ќгѕ «б’жЁн,«Ќгѕ «б’жЁн,TRUE,None,None,None
«Ќгѕ «бг«ћѕ,”Џѕн ’«бЌ,FALSE,FRIENDSHIP,“гнб,None
«Ќгѕ «бг«ћѕ,”Џѕн ’«бЌ,FALSE,WSTUDY,«ќ—«ћ,None
«Ќгѕ «бг«ћѕ,”Џѕн ’«бЌ,FALSE,MISC,«бгќ—ћ,None
«Ќгѕ «бг«ћѕ,Ёб«Ќ ‘«я—,FALSE,MISC,«бя« »,None
»”«г «ѕ—н” «бћб»н,»”«г «ѕ—н” Џ»ѕ «ббе «бћб»н,TRUE,None,None,None
»”«г «ѕ—н” «бћб»н,»”«г «бћб»н,TRUE,None,None,None
»”«г «ѕ—н” «бћб»н,»”«г «ѕ—н” «бћб»н,TRUE,None,None,None
»”«г «ѕ—н” «бћб»н,гЌгѕ »д Џ»ѕ «ббе »д Џг«— «бгж’бн,FALSE,MISC,None,None
»”«г «ѕ—н” «бћб»н,гЌгѕ »д Џ»ѕ «ббе »д Џг«— «бгж’бн,FALSE,MISC,None,None
»”«г «ѕ—н” «бћб»н,гн”— ’«бЌ «б«гнд,FALSE,MISC,None,None
»‘н— «б’ё«б,Џ»ѕ«ббе «б»Ќ—«дн,FALSE,WSTUDY,ё—√,None
»‘н— «б’ё«б,«Ќгѕ Ќгнѕ «бЌгѕ«дн,FALSE,WSTUDY,ѕ—”,None
»‘н— «б’ё«б,’«бЌ «бће«ѕн,FALSE,WSTUDY,ѕ—”,None
»‘н— «б’ё«б,ѕ«жѕ «бж÷Ќе,FALSE,WSTUDY,ѕ—”,None
»‘н— «б’ё«б,гЌгѕ «б—÷ж«дн,FALSE,WSTUDY,« ’б,гЌгѕ «б—÷ж«дн
»‘н— «б’ё«б,Џ»ѕ«ббе «бдЏге,FALSE,WSTUDY,б«“г,Џ»ѕ«ббе гЌгѕ ћ—ћн” «бдЏге
»‘н— «б’ё«б,гЌгѕ н«”нд,FALSE,WSTUDY, б«г– ,гЌгѕ н«”нд «б”дћ«—н
»‘н— «б’ё«б,гЌгѕ «бЏг—,FALSE,WSTUDY, б«г– ,None
»‘н— «б’ё«б,гЌгжѕ Ќ”д Џябе,FALSE,WSTUDY, б«г– ,None
»‘н— «б’ё«б,Џ»ѕ«б—Ќгд «Ќгѕ «бгЌгжѕ,FALSE,WSTUDY, б«г– ,None
»‘н— «б’ё«б,«»—«енг дЏгн –джд,FALSE,WSTUDY, б«г– ,None
»‘н— «б’ё«б,дж—н Џ»ѕ«ббе,FALSE,WSTUDY, б«г– ,None
»‘н— «б’ё«б,«я—г Џ»ѕ«бже«»,FALSE,WSTUDY, б«г– ,«я—г Џ»ѕ«бже«»
»‘н— «б’ё«б,«»—«енг «бдЏге,FALSE,WSTUDY, б«г– ,«»—«енг «бдЏге
»‘н— «б’ё«б,‘ян» √—”б«д,FALSE,CONTACT,г—«”б« ,None
»‘н— «б’ё«б,«»—«енг «бдЏге,FALSE,MISC,None,«»—«енг «бдЏге
»‘н— «б’ё«б,Џ»ѕ«ббе «б’жЁн,FALSE,MISC,None,None
»‘н— «б’ё«б,≈»—«енг «бдЏге,FALSE,MENTION,нёжб,«»—«енг «бдЏге
»‘н— «б’ё«б,гЌгѕ Џ»ѕе,FALSE,IDIOLOGY,дећ,None
»‘н— «б’ё«б,ћг«б«бѕнд «б«Ёџ«дн,FALSE,IDIOLOGY,дећ,None
»‘н— «б’ё«б,гЌгѕ Џ»ѕе,FALSE,IDIOLOGY, «Ћ—,None
»‘н— «б’ё«б,ћг«б«бѕнд «б«Ёџ«дн,FALSE,WSTUDY,√” «–,None
»‘н— «б’ё«б,≈»—«енг «бдЏге,FALSE,MISC,None,«»—«енг «бдЏге
»‘н— «б’ё«б,Џ»ѕ«ббе «бдЏге,FALSE,WSTUDY,‘нќ,Џ»ѕ«ббе гЌгѕ ћ—ћн” «бдЏге
»‘н— «б’ё«б,гЌгѕ Џбн «бн«” «бЏѕж«дн,FALSE,WSTUDY,Ўб» ,гЌгѕ Џбн «бн«” «бЏѕж«дн
»‘н— «б’ё«б,‘«я— «бдЏге,FALSE,WSTUDY,Ўб» ,None
»‘н— «б’ё«б,гЌгѕ н«”нд,FALSE,WSTUDY,Ўб» ,None
»‘н— «б’ё«б,гЌгѕ Џг— «бЌѕнѕн,FALSE,WSTUDY,Ўб» ,None
»‘н— «б’ё«б,дЏг«д Ќ”нд «бгж«бн,FALSE,WSTUDY,Ўб» ,None
»‘н— «б’ё«б,‘г”«бѕнд «б»ѕ—н,FALSE,WSTUDY,Ўб» ,None
»‘н— «б’ё«б,гЌгжѕ Ќ”д Џябе,FALSE,WSTUDY,Ўб» ,None
»‘н— «б’ё«б,Џ»ѕ«бе«ѕн «бЌ«ћ Џбн,FALSE,WSTUDY,Ўб» ,None
»‘н— «б’ё«б,≈»—«енг ќбЁ Џдн“,FALSE,WSTUDY,Ўб» ,None
